#wave   V1            V2         V3          V4
#
4496.75 0.000134673 6.5133e-05 0.000127524 9.4414e-05
4502.02 0.000134419 0.00011567 9.79802e-05 0.000149963
4507.3 9.40595e-05 0.000132249 4.74074e-05 0.000137466
4512.57 0.000129425 0.000105232 5.38657e-05 0.000105935
4517.84 0.000117444 0.000158408 0.000138791 7.46247e-05
4523.11 0.000125993 0.000126305 0.000118119 0.000139941
4528.38 0.000126904 0.000162924 0.000108695 0.000110415
4533.66 0.000136951 8.62715e-05 0.000163407 0.000176915
4538.93 7.88233e-05 5.13141e-05 0.000112373 0.000162061
4544.2 9.73337e-05 0.000158831 0.000147464 7.36686e-05
4549.47 0.000155795 0.000118907 8.2873e-05 0.000154533
4554.74 0.000100283 7.9133e-05 0.000147444 0.000163101
4560.02 8.77864e-05 0.000241742 8.51088e-05 0.000220379
4565.29 9.05143e-05 0.000107383 8.63557e-05 0.000136026
4570.56 0.000105372 0.000122508 6.12586e-05 0.000106906
4575.83 0.000109395 0.000144002 8.54419e-05 0.000139298
4581.1 0.000110225 0.0001337 9.82592e-05 0.000101873
4586.38 0.000148678 0.000117012 7.69809e-05 0.000198217
4591.65 0.000170312 0.000166452 6.49167e-05 7.5454e-05
4596.92 0.000104018 0.000135119 7.55507e-05 0.000158516
4602.19 9.42519e-05 6.98143e-05 0.000117182 0.00013189
4607.47 7.99641e-05 0.000129565 8.66896e-05 0.000168524
4612.74 7.34234e-05 4.70945e-05 0.000116939 0.000179907
4618.01 0.000102098 8.75121e-05 0.000125888 0.000279202
4623.28 0.00010993 0.000117005 0.000140544 0.000192071
4628.55 0.000214728 0.000137488 7.61077e-05 0.000210385
4633.83 0.000114024 0.000136893 5.30078e-05 0.00013792
4639.1 0.000111057 7.64299e-05 6.62003e-05 0.000215678
4644.37 0.000105015 0.000121784 9.03806e-05 0.000106179
