#  Table ccd.tab  Fri 15:08:38 04-Apr-97
#
#      WAVELENGTH      THROUGHPUT
#       angstroms                
#
         3212.013      0.05086958
          3215.64      0.05104312
         3219.272      0.05121689
         3222.909      0.05139223
         3226.547      0.05156795
         3230.191      0.05174407
         3233.839      0.05192186
         3237.491       0.0520999
         3241.149      0.05227877
         3244.808       0.0524588
         3248.474      0.05263926
         3252.141       0.0528207
         3255.814      0.05300315
         3259.494      0.05318602
         3263.172      0.05337017
         3266.857      0.05355497
         3270.548      0.05374036
          3274.24      0.05392723
         3277.941      0.05411462
         3281.639      0.05430266
         3285.347      0.05449217
         3289.058      0.05468183
          3292.77      0.05487293
         3296.493      0.05506501
         3300.214      0.05524876
         3303.941      0.05529635
         3307.674      0.05534404
         3311.407       0.0553918
         3315.149      0.05543979
         3318.891       0.0554878
         3322.639      0.05553598
         3326.393      0.05558427
         3330.148      0.05563259
         3333.911      0.05568114
         3337.676      0.05572972
         3341.445      0.05577841
         3345.219      0.05582725
         3348.997      0.05587615
         3352.779      0.05592521
         3356.565      0.05597436
         3360.356      0.05602359
         3364.151      0.05607306
          3367.95      0.05612259
         3371.754       0.0561723
         3375.562      0.05622219
         3379.374      0.05627215
          3383.19      0.05632239
         3387.011      0.05637274
         3390.836      0.05642319
         3394.666      0.05647384
         3398.499      0.05652455
         3402.337      0.05657779
          3406.18      0.05663268
         3410.027      0.05668765
         3413.878      0.05674289
         3417.733      0.05679821
         3421.593      0.05685375
         3425.457      0.05690954
         3429.325       0.0569654
         3433.198       0.0570216
         3437.077      0.05707798
         3440.957      0.05713443
         3444.843      0.05719121
         3448.735      0.05724808
         3452.628      0.05730514
          3456.53       0.0573624
         3460.431      0.05741969
         3464.339      0.05747729
         3468.253      0.05753501
         3472.168      0.05759291
         3476.094      0.05765113
         3480.017      0.05770936
         3483.945      0.05776795
         3487.884      0.05782671
         3491.819      0.05788558
         3495.764       0.0579448
         3499.712      0.05800407
         3503.665       0.0580657
         3507.623      0.05812764
         3511.581      0.05818967
          3515.55      0.05825207
         3519.521      0.05831451
         3523.493       0.0583773
         3527.473      0.05844026
         3531.456      0.05850342
         3535.447      0.05856689
         3539.439      0.05863043
         3543.437      0.05869431
         3547.438      0.05875833
         3551.442      0.05882251
         3555.455      0.05888702
          3559.47      0.05895159
          3563.49       0.0590165
         3567.515      0.05908152
         3571.544      0.05914676
         3575.577      0.05921225
         3579.615      0.05927784
         3583.658       0.0593438
         3587.705      0.05940991
         3591.757      0.05947622
         3595.813      0.05954279
         3599.874      0.05960945
         3603.939      0.05991335
          3608.01       0.0602253
         3612.084      0.06053967
         3616.163      0.06085637
         3620.247       0.0611738
         3624.336      0.06149526
         3628.429      0.06181723
         3632.527      0.06214208
         3636.629       0.0624689
         3640.736      0.06279694
         3644.847      0.06312872
         3648.964      0.06346103
         3653.085      0.06379681
          3657.21      0.06413411
         3661.343      0.06447344
         3665.475      0.06481571
         3669.615       0.0651587
         3673.759      0.06550594
         3677.908      0.06585408
         3682.064        0.066205
         3686.222       0.0665584
         3690.385      0.06691273
         3694.551      0.06727121
         3698.723       0.0676304
           3702.9      0.06817041
         3707.084      0.06879105
         3711.271      0.06941626
         3715.462      0.07005147
         3719.658      0.07068766
         3723.857      0.07133672
         3728.066      0.07198879
         3732.276      0.07264865
         3736.489      0.07331549
         3740.709      0.07398605
         3744.932      0.07466874
         3749.165      0.07535352
         3753.399      0.07605017
         3757.638      0.07675071
         3761.882      0.07745882
         3766.128      0.07817579
         3770.383      0.07889594
         3774.641      0.07963041
         3778.904        0.080366
         3783.172      0.08111414
         3787.442      0.08186699
         3791.722      0.08262806
         3796.004      0.08339919
         3800.291      0.08415858
         3804.583      0.08474033
         3808.879      0.08532295
         3813.178      0.08591255
         3817.487       0.0865059
         3821.798      0.08710352
         3826.115      0.08770724
         3830.435      0.08831272
         3834.761      0.08892708
         3839.092      0.08954238
         3843.427      0.09016579
         3847.768      0.09079213
         3852.114      0.09142389
         3856.464      0.09206133
         3860.819      0.09270152
         3865.179      0.09335031
         3869.544      0.09400014
         3873.915      0.09465958
         3878.289        0.095321
         3882.671      0.09598974
         3887.054      0.09666267
         3891.444      0.09734016
         3895.839      0.09802528
         3900.239      0.09868508
         3904.643      0.09888503
         3909.055      0.09908538
         3913.469      0.09928609
         3917.887      0.09948704
         3922.312      0.09968861
         3926.741      0.09989065
         3931.178       0.1000932
         3935.618       0.1002963
         3940.062       0.1004996
          3944.51       0.1007035
