ID      x    y   RA(m:s)  Dec(m:s)   mt  mi     U-B   B-V   V-I    S/N   area  r1(")   b/a   PA  Flags
4-130.0          872.0  347.0 36:48.153 12:32.24  29.00  29.08 >-0.40   0.45   0.30   8.48   0.10  0.11   0.80   45          S
4-131.0         1362.0  323.0 36:49.365 12:14.64  25.54  25.59   0.04   0.22   0.68  64.87   1.00  0.36   0.37   60          S
4-132.0          334.0  350.0 36:46.943 12:51.94  29.46  29.64    ...  >0.29   0.93   6.62   0.10  0.12   0.64  130          S
4-133.0          350.0  354.0 36:46.958 12:51.29  29.38  29.74 >-0.42   0.30  -0.38   5.86   0.04  0.07   0.58  107          S
4-134.0          760.0  354.0 36:47.867 12:36.24  29.37  29.53    ...  >0.60   0.51   7.04   0.07  0.10   0.65  175          S
4-135.0         1013.0  354.0 36:48.428 12:26.96  28.04  28.15 >-0.53   1.22   0.38  15.63   0.17  0.12   0.89  134          S
4-136.0          643.0  353.0 36:47.613 12:40.55  26.12  26.16   1.21  -0.03  -0.01  48.31   0.43  0.17   0.62   94          S
4-137.0         1956.0  358.0 36:50.498 11:52.30  29.76  30.08    ...  >0.34   0.26   4.71   0.04  0.08   0.56  110          S
4-138.0          182.0  358.0 36:46.564 12:57.39  29.74  29.96 >-0.51  -0.04   0.77   5.99   0.05  0.07   0.71   62          S
4-139.0         1901.0  362.0 36:50.355 11:54.26  28.84  29.28    ...  >0.58   0.88   8.02   0.10  0.12   0.60  175          S
4-140.0         1520.0  362.0 36:49.510 12:08.24  27.44  27.49   1.11  -0.06   0.17  24.16   0.19  0.11   0.85   18          S
4-141.0         1637.0  362.0 36:49.770 12:03.94  27.95  28.09   0.47  -0.24   0.04  15.51   0.13  0.10   0.78   23          S
4-142.0          392.0  368.0 36:46.978 12:49.53  28.86  29.16 >-0.44   0.46  -0.26   7.11   0.08  0.10   0.60   75          S
4-143.0         1184.0  368.0 36:48.734 12:20.47  29.11  29.41 >-0.55   0.39   0.26   6.53   0.08  0.10   0.73  143          S
4-144.0         1870.0  368.0 36:50.255 11:55.30  29.92  30.21    ...  >0.20   0.81   5.27   0.05  0.08   0.73   64          S
4-145.0         1971.0  368.0 36:50.479 11:51.60  27.74  27.88  >0.40   0.25   0.33  14.38   0.25  0.16   0.81  147          S
4-146.0          563.0  368.0 36:47.357 12:43.25  28.52  28.50    ...  >1.21   1.13  14.46   0.18  0.13   0.77   93          S
4-147.0          293.0  374.0 36:46.726 12:53.07  29.01  29.27 >-0.30   0.42  -0.47   6.48   0.06  0.10   0.43   72          S
4-148.0         1286.0  374.0 36:48.929 12:16.64  30.04  30.36    ... >-0.29   1.70   5.79   0.08  0.12   0.61  158          S
4-149.0         2014.0  372.0 36:50.553 11:49.96  27.15  27.29   0.22  -0.11   0.48  19.42   0.25  0.19   0.34  169         BS
4-150.0          696.0  374.0 36:47.620 12:38.28  28.17  28.22  >0.83  -0.08   0.17  14.63   0.13  0.10   0.90   19          S
4-151.0          755.0  377.0 36:47.736 12:36.07  29.50  29.81    ...  >0.55   0.07   5.68   0.05  0.09   0.53  155          S
4-152.0          624.0  379.0 36:47.434 12:40.85  28.42  28.60  >0.23   0.09  -0.08  10.49   0.13  0.13   0.87  114          S
4-153.0         1780.0  382.0 36:49.982 11:58.39  29.73  30.31    ...  >0.04 <-0.05   3.49   0.04  0.06   0.62   17          S
4-154.0         1217.0  378.0 36:48.755 12:19.11  26.36  26.38  >0.44   1.21   0.53  37.99   0.63  0.26   0.41    1          S
4-155.0         1688.0  386.0 36:49.757 12:01.70  27.76  27.82  >0.14   0.66   0.18  14.95   0.25  0.16   0.66  145          S
4-156.0          172.0  388.0 36:46.385 12:57.29  29.51  29.55 >-0.25   0.02   0.18   6.60   0.06  0.08   0.71  100          S
4-157.0          143.0  388.0 36:46.320 12:58.35  27.67  27.74  >0.29   0.33   0.00  13.66   0.16  0.13   0.65  119          S
4-158.0         1080.0  396.0 36:48.356 12:23.85  28.84  28.99    ...  >0.80   0.24   8.18   0.11  0.12   0.88   39          S
4-159.0          571.0  398.0 36:47.217 12:42.50  28.81  29.25    ...  >0.57   0.62   7.18   0.13  0.18   0.65  179          S
4-160.0          721.0  387.0 36:47.608 12:37.16  25.71  25.76  >1.12   0.91   0.55  57.97   0.92  0.24   0.82  112          S
4-161.0          230.0  386.0 36:46.524 12:55.19  25.64  25.67   0.26   0.27   0.85  68.16   0.96  0.26   0.56   64          S
4-163.0         1802.0  398.0 36:49.947 11:57.33  27.86  28.01  >0.06   0.47   0.59  14.63   0.26  0.17   0.69   25          S
4-164.0          444.0  403.0 36:46.909 12:47.08  29.63  30.16 >-0.63   0.01   0.20   4.51   0.04  0.08   0.42   56          S
4-166.0          386.0  383.0 36:46.886 12:49.52  26.46  26.56   1.04   0.05   0.02  28.45   0.60  0.56   0.19   48           
4-166.1          392.0  402.0 36:46.799 12:49.00  27.01  27.25  >1.23   0.14   0.03  25.82   0.24  0.17   0.78   69          S
4-166.2          386.0  383.0 36:46.886 12:49.52  27.45  27.68   0.40   0.06  -0.01  20.36   0.17  0.19   0.30   68          S
4-167.0         1307.0  411.0 36:48.781 12:15.29  29.96  30.57    ... >-0.11   0.55   4.37   0.04  0.11   0.30   96          S
4-168.0         1859.0  407.0 36:50.026 11:55.10  28.27  28.45  >0.27   0.21   0.03  11.10   0.12  0.12   0.71  140          S
4-169.0         1271.0  408.0 36:48.717 12:16.66  30.16  29.66    ... >-0.27   3.01  15.21   0.26  0.16   0.70  148          S
4-170.0         1104.0  413.0 36:48.320 12:22.71  28.89  28.86 >-0.83   0.86   0.94  11.68   0.14  0.14   0.52  157          S
4-171.0         1528.0  405.0 36:49.302 12:07.28  25.84  25.89   0.85   0.50   1.07  69.60   0.80  0.24   0.51   20          S
4-172.0          744.0  417.0 36:47.501 12:35.85  29.20  29.42    ...  >0.41   0.59   6.13   0.11  0.21   0.38   88          S
4-173.0          831.0  400.0 36:47.783 12:32.93  24.23  24.25   0.48   0.48   0.91 163.82   1.96  0.31   0.74  121          S
4-174.0          917.0  417.0 36:47.885 12:29.51  27.82  27.93  >0.10   0.77   0.26  17.09   0.17  0.11   0.97   53          S
4-175.0          541.0  419.0 36:47.040 12:43.27  26.32  26.34   0.46   0.32   0.54  46.79   0.52  0.20   0.46  138          S
4-176.0          710.0  422.0 36:47.399 12:37.02  29.18  29.44 >-0.70   0.42   0.26   6.51   0.09  0.10   0.67   68          S
4-177.0         1254.0  431.0 36:48.559 12:16.93  30.14  29.94 >-0.39  -0.32   1.16   6.44   0.08  0.12   0.41  112          S
4-178.0         1651.0  417.0 36:49.512 12:02.58  27.59  27.80  >0.44   0.25   0.10  13.51   0.32  0.41   0.29  125          S
4-179.0          759.0  431.0 36:47.461 12:35.09  29.82  30.19    ...  >0.12   0.86   5.31   0.05  0.08   0.53   49          S
4-180.0         1560.0  421.0 36:49.289 12:05.85  27.52  27.70   0.39   0.29  -0.02  15.29   0.28  0.23   0.27  103          S
4-181.0         1747.0  433.0 36:49.641 11:58.81  29.26  29.49 >-0.68   0.63  -0.32   5.80   0.07  0.13   0.36   48          S
4-182.0          821.0  431.0 36:47.598 12:32.81  28.44  28.70 >-0.02   0.38  -0.33   9.57   0.10  0.11   0.52   73          S
4-183.0         1388.0  433.0 36:48.845 12:11.98  29.32  29.69    ...  >0.57  -0.02   6.02   0.05  0.09   0.49  109          S
4-184.0         1792.0  435.0 36:49.730 11:57.12  29.26  29.75    ...  >0.60 <-0.45   5.08   0.05  0.08   0.63   17          S
4-185.0         1971.0  434.0 36:50.132 11:50.57 >30.67 >30.67    ...    ...  >1.64   4.63   0.06  0.11   0.41   32          S
4-186.0         1284.0  432.0 36:48.620 12:15.81  25.45  25.47  >1.94   0.66   0.77  95.64   0.62  0.19   0.85  166          S
4-187.0         1067.0  439.0 36:48.102 12:23.66  29.04  29.19  >0.01   0.12  -0.07   8.16   0.07  0.09   0.73  143          S
4-188.0          852.0  442.0 36:47.609 12:31.50  29.94  30.49    ... >-0.26   1.08   4.56   0.05  0.10   0.47   47          S
4-189.0          234.0  441.0 36:46.244 12:54.19  29.20  29.50 >-0.21  -0.18   0.34   6.19   0.09  0.12   0.65  163          S
4-190.0          320.0  441.0 36:46.435 12:51.04  28.59  28.71 >-0.04   0.33   0.08   9.55   0.12  0.11   0.59   98          S
4-191.0          151.0  446.0 36:46.033 12:57.16  30.15  30.15    ... >-0.04   0.34   3.72   0.04  0.09   0.42  130          S
4-192.0          519.0  441.0 36:46.876 12:43.74  29.30  29.51    ...  >0.54   0.34   6.41   0.08  0.11   0.35   73          S
4-193.0         1664.0  434.0 36:49.452 12:01.84  26.46  26.56  >1.33   0.37   0.06  34.19   0.44  0.18   0.79   62          S
4-194.0         1836.0  441.0 36:49.796 11:55.42  25.92  25.98  >1.42   0.64   0.19  51.10   0.60  0.20   0.80   20          S
4-195.0         1597.0  452.0 36:49.209 12:04.01  29.00  29.00    ...  >1.06   0.01   8.76   0.08  0.10   0.54   95          S
4-196.0         1720.0  453.0 36:49.476 11:59.49  29.84  30.23    ...  >0.07   0.49   4.50   0.05  0.10   0.75   34          S
4-197.0          356.0  454.0 36:46.446 12:49.51  28.89  29.25 >-0.71   0.39   0.49   6.40   0.12  0.16   0.34    2          S
4-198.0         1093.0  457.0 36:48.065 12:22.43  28.97  29.26  >0.12  -0.14   0.49   7.50   0.09  0.12   0.63  134          S
4-199.0         1467.0  456.0 36:48.899 12:08.72  28.13  28.46  >0.20   0.11   0.45  10.27   0.18  0.15   0.72   83          S
4-200.0         1232.0  461.0 36:48.352 12:17.27  28.72  28.46 >-0.30   0.13   1.68  15.46   0.35  0.21   0.68   94          S
4-201.0          316.0  462.0 36:46.315 12:50.86  26.96  26.95   0.88   0.26   0.25  26.74   0.36  0.16   0.89   10          S
4-202.0          208.0  465.0 36:46.060 12:54.77  28.24  28.28 >-0.25   0.79   0.32  13.38   0.16  0.12   0.75  110          S
4-203.0         1485.0  461.0 36:48.913 12:07.98  25.90  25.94   0.43   0.54   0.47  48.94   0.92  0.33   0.53   97           
4-203.1         1485.0  461.0 36:48.913 12:07.98  26.03  26.06   0.45   0.63   0.53  50.05   0.76  0.29   0.51   82           
