# K short	G0205
# scanned warm
# Wavelength (nm)	%T
2643	0.010867
2642	0.011531
2641	0.012111
2640	0.017706
2639	0.0069216
2638	0.0074081
2637	0.0073584
2636	0.015737
2635	0.0097545
2634	0.012487
2633	0.014848
2632	0.0098409
2631	0.011494
2630	0.011288
2629	0.015082
2628	0.0077519
2627	0.013598
2626	0.013869
2625	0.015014
2624	0.0076429
2623	0.010608
2622	0.011798
2621	0.012119
2620	0.014585
2619	0.01531
2618	0.011736
2617	0.010689
2616	0.010785
2615	0.0188
2614	0.010857
2613	0.010864
2612	0.015137
2611	0.0089411
2610	0.0104
2609	0.011236
2608	0.013421
2607	0.016539
2606	0.015479
2605	0.016106
2604	0.0065053
2603	0.012616
2602	0.010377
2601	0.014818
2600	0.014641
2599	0.014004
2598	0.011401
2597	0.010184
2596	0.01633
2595	0.011908
2594	0.014877
2593	0.011772
2592	0.010213
2591	0.0098808
2590	0.010953
2589	0.016524
2588	0.0071425
2587	0.011106
2586	0.014806
2585	0.014069
2584	0.015688
2583	0.010649
2582	0.012041
2581	0.01182
2580	0.015287
2579	0.010815
2578	0.010185
2577	0.019769
2576	0.0081923
2575	0.010753
2574	0.012756
2573	0.0082993
2572	0.014932
2571	0.010093
2570	0.016825
2569	0.012776
2568	0.014709
2567	0.0073854
2566	0.015894
2565	0.016814
2564	0.014515
2563	0.0086066
2562	0.016891
2561	0.0086551
2560	0.012726
2559	0.0071076
2558	0.012916
2557	0.014987
2556	0.0080924
2555	0.015055
2554	0.010244
2553	0.01233
2552	0.013403
2551	0.010568
2550	0.012942
2549	0.012085
2548	0.014082
2547	0.0076951
2546	0.015575
2545	0.012653
2544	0.010606
2543	0.0041115
2542	0.010018
2541	0.010639
2540	0.013371
2539	0.017967
2538	0.014997
2537	0.013352
2536	0.015462
2535	0.0072727
2534	0.01251
2533	0.010406
2532	0.0095655
2531	0.018556
2530	0.0067651
2529	0.015469
2528	0.015294
2527	0.01813
2526	0.014382
2525	0.013915
2524	0.011467
2523	0.016388
2522	0.0050044
2521	0.0093411
2520	0.015369
2519	0.013196
2518	0.0093604
2517	0.011598
2516	0.01558
2515	0.012825
2514	0.012156
2513	0.0098438
2512	0.015163
2511	0.015102
2510	0.011915
2509	0.0074744
2508	0.013604
2507	0.0095306
2506	0.010102
2505	0.01599
2504	0.013776
2503	0.012404
2502	0.012255
2501	0.017973
2500	0.012718
2499	0.014302
2498	0.011862
2497	0.0071226
2496	0.013058
2495	0.011943
2494	0.015327
2493	0.012029
2492	0.01133
2491	0.01188
2490	0.013051
2489	0.01023
2488	0.015675
2487	0.015496
2486	0.0083273
2485	0.019246
2484	0.011228
2483	0.012671
2482	0.012251
2481	0.016836
2480	0.012216
2479	0.011464
2478	0.011095
2477	0.015187
2476	0.012777
2475	0.015977
2474	0.010595
2473	0.018983
2472	0.010728
2471	0.015217
2470	0.013276
2469	0.014376
2468	0.013919
2467	0.014407
2466	0.0078175
2465	0.014674
2464	0.018499
2463	0.015994
2462	0.0057207
2461	0.01213
2460	0.016491
2459	0.011907
2458	0.012318
2457	0.011232
2456	0.016814
2455	0.017158
2454	0.013022
2453	0.016781
2452	0.015954
2451	0.019953
2450	0.018059
2449	0.0103
2448	0.022781
2447	0.011541
2446	0.013396
2445	0.013865
2444	0.012061
2443	0.019017
2442	0.016126
2441	0.019043
2440	0.014172
2439	0.020822
2438	0.012953
2437	0.021246
2436	0.015065
2435	0.019584
2434	0.014578
2433	0.026601
2432	0.018219
2431	0.017452
2430	0.016307
2429	0.015567
2428	0.022153
2427	0.018779
2426	0.027219
2425	0.020496
2424	0.025924
2423	0.022347
2422	0.02563
2421	0.026474
