# lambda       B1            B2          B3           B4
#
  5134.7   0.00016812   0.00013472   0.00014086   0.00012747 
  5139.9   0.00013916   0.00019075   0.00012339   0.00009964 
  5145.2   0.00023125   0.00015471   0.00015415   0.00007988 
  5150.5   0.00027031   0.00014283   0.00011811   0.00010894 
  5155.8   0.00013638   0.00014764   0.00011947   0.00015222 
  5161.0   0.00010570   0.00013194   0.00015786   0.00010107 
  5166.3   0.00014430   0.00011684   0.00015236   0.00011628 
  5171.6   0.00018729   0.00013341   0.00011099   0.00013044 
  5176.9   0.00013566   0.00009698   0.00013364   0.00010263 
  5182.1   0.00016459   0.00016640   0.00009705   0.00015752 
  5187.4   0.00020388   0.00008325   0.00015458   0.00010008 
  5192.7   0.00012755   0.00014915   0.00015636   0.00011699 
  5197.9   0.00016267   0.00014532   0.00021465   0.00011976 
  5203.2   0.00013057   0.00015779   0.00011978   0.00010695 
  5208.5   0.00013855   0.00015311   0.00027097   0.00010989 
  5213.8   0.00019343   0.00008196   0.00018531   0.00015805 
  5219.0   0.00011417   0.00010769   0.00009045   0.00012316 
  5224.3   0.00009723   0.00010416   0.00014984   0.00013080 
  5229.6   0.00014111   0.00009485   0.00013527   0.00011314 
  5234.8   0.00012052   0.00008471   0.00016816   0.00014502 
  5240.1   0.00009851   0.00009807   0.00011690   0.00018755 
  5245.4   0.00013879   0.00010291   0.00015135   0.00013711 
  5250.7   0.00013938   0.00017040   0.00014314   0.00010577 
  5255.9   0.00018911   0.00010043   0.00014223   0.00015201 
  5261.2   0.00009799   0.00007768   0.00010402   0.00011073 
  5266.5   0.00012655   0.00008951   0.00013450   0.00009921 
  5271.7   0.00022127   0.00010685   0.00013964   0.00010948 
  5277.0   0.00025818   0.00006338   0.00008733   0.00022153 
  5282.3   0.00013834   0.00008506   0.00017199   0.00012872 
  5287.6   0.00021561   0.00014625   0.00014334   0.00011463 
  5292.8   0.00015376   0.00014275   0.00014155   0.00016776 
  5298.1   0.00010621   0.00008435   0.00020813   0.00013240 
  5303.4   0.00013971   0.00009350   0.00015007   0.00018597 
  5308.7   0.00017457   0.00013349   0.00012094   0.00009672 
  5313.9   0.00016926   0.00010193   0.00012243   0.00010828 
  5319.2   0.00019665   0.00008378   0.00011732   0.00012460 
  5324.5   0.00027004   0.00010885   0.00010728   0.00015140 
  5329.7   0.00012493   0.00014306   0.00012180   0.00009709 
  5335.0   0.00021475   0.00015177   0.00015593   0.00017778 
  5340.3   0.00012433   0.00012970   0.00013715   0.00006270 
  5345.6   0.00022521   0.00013215   0.00014751   0.00011322 
  5350.8   0.00018415   0.00009566   0.00010137   0.00006511 
  5356.1   0.00017722   0.00008355   0.00008470   0.00010126 
  5361.4   0.00010256   0.00010796   0.00015565   0.00011024 
