         7 = grain model
 3.000E-08 3.000E-01 4.500E-05 = a_01 (cm) , sigma_1 , b_C1
 3.000E-07 3.000E-01 1.500E-05 = a_02 (cm) , sigma_2 , b_C2
 5.000E-01 1.000E+05 2.500E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.497E+00 = <U> 
     mmp83 = radfield

 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy sr-1 H-1)
 3.767E+02  3.363E-25  3.360E-38
 3.733E+02  3.474E-25  3.440E-38
 3.698E+02  3.589E-25  3.521E-38
 3.664E+02  3.708E-25  3.604E-38
 3.631E+02  3.829E-25  3.688E-38
 3.597E+02  3.955E-25  3.774E-38
 3.565E+02  4.084E-25  3.861E-38
 3.532E+02  4.216E-25  3.950E-38
 3.499E+02  4.353E-25  4.040E-38
 3.467E+02  4.493E-25  4.132E-38
 3.436E+02  4.637E-25  4.226E-38
 3.404E+02  4.785E-25  4.321E-38
 3.373E+02  4.937E-25  4.417E-38
 3.342E+02  5.094E-25  4.515E-38
 3.311E+02  5.254E-25  4.615E-38
 3.281E+02  5.419E-25  4.716E-38
 3.251E+02  5.589E-25  4.819E-38
 3.221E+02  5.763E-25  4.924E-38
 3.192E+02  5.941E-25  5.030E-38
 3.162E+02  6.125E-25  5.137E-38
 3.133E+02  6.312E-25  5.246E-38
 3.105E+02  6.505E-25  5.357E-38
 3.076E+02  6.703E-25  5.469E-38
 3.048E+02  6.906E-25  5.583E-38
 3.020E+02  7.114E-25  5.699E-38
 2.992E+02  7.327E-25  5.815E-38
 2.965E+02  7.545E-25  5.934E-38
 2.938E+02  7.769E-25  6.054E-38
 2.911E+02  7.998E-25  6.175E-38
 2.884E+02  8.233E-25  6.298E-38
 2.858E+02  8.473E-25  6.423E-38
 2.831E+02  8.719E-25  6.548E-38
 2.805E+02  8.970E-25  6.675E-38
 2.780E+02  9.227E-25  6.804E-38
 2.754E+02  9.490E-25  6.933E-38
 2.729E+02  9.764E-25  7.068E-38
 2.704E+02  1.004E-24  7.203E-38
 2.679E+02  1.033E-24  7.339E-38
 2.655E+02  1.062E-24  7.475E-38
 2.630E+02  1.091E-24  7.611E-38
 2.606E+02  1.121E-24  7.748E-38
 2.582E+02  1.151E-24  7.884E-38
 2.559E+02  1.182E-24  8.020E-38
 2.535E+02  1.213E-24  8.156E-38
 2.512E+02  1.245E-24  8.292E-38
 2.489E+02  1.276E-24  8.425E-38
 2.466E+02  1.308E-24  8.554E-38
 2.443E+02  1.340E-24  8.684E-38
 2.421E+02  1.372E-24  8.813E-38
 2.399E+02  1.405E-24  8.941E-38
 2.377E+02  1.438E-24  9.069E-38
 2.355E+02  1.472E-24  9.196E-38
 2.333E+02  1.506E-24  9.323E-38
 2.312E+02  1.541E-24  9.448E-38
 2.291E+02  1.575E-24  9.573E-38
 2.270E+02  1.611E-24  9.697E-38
 2.249E+02  1.646E-24  9.820E-38
 2.228E+02  1.682E-24  9.942E-38
 2.208E+02  1.718E-24  1.006E-37
 2.188E+02  1.755E-24  1.018E-37
 2.168E+02  1.792E-24  1.030E-37
 2.148E+02  1.829E-24  1.042E-37
 2.128E+02  1.867E-24  1.054E-37
 2.109E+02  1.905E-24  1.065E-37
 2.089E+02  1.943E-24  1.077E-37
 2.070E+02  1.981E-24  1.088E-37
 2.051E+02  2.020E-24  1.099E-37
