#wave       R1        R2         R3         R4
#
8022.39 0.000360443 0.000202615 0.000170616 0.000167507
8029.51 0.000206797 0.000191882 0.00038181 0.000270411
8036.62 0.000165545 0.000243323 0.000255095 0.000174805
8043.73 0.000206013 0.000381864 0.000340347 0.000187444
8050.84 0.000346995 0.000303234 0.000428696 0.000248226
8057.95 0.000188752 0.000303164 0.000118285 0.000139711
8065.06 0.000175954 0.000252271 0.000269405 0.000119169
8072.17 0.000212755 0.000175992 0.000259121 0.000147371
8079.29 0.000210421 0.000294975 0.000143137 0.000177248
8086.4 0.000179528 0.000128511 0.000221093 0.000133643
8093.51 0.000292155 0.000117069 0.000257796 0.000159487
8100.62 0.000182958 0.000324956 0.000298849 0.000130336
8107.73 0.000240526 0.000301425 0.000274076 0.000109148
8114.84 0.000239838 0.000285432 0.000205765 0.000174717
8121.96 0.000265524 0.000260933 0.000202362 0.000165893
8129.07 0.000229762 0.0002261 0.00026922 0.00016499
8136.18 0.000247764 0.000254934 0.00025403 0.000253306
8143.29 0.000302319 0.000246166 0.000312009 0.000162824
8150.4 0.000219397 0.000172605 0.000254901 0.000104629
8157.51 0.000404213 0.000172128 0.000316199 0.000141872
8164.62 0.000267081 0.00014807 0.000540672 0.000138189
8171.74 0.000348902 0.000371676 0.000273772 0.000210326
8178.85 0.000337272 0.000155083 0.000501066 0.00019374
8185.96 0.000371152 0.000183033 0.00049682 0.00022602
8193.07 0.000323863 0.000210883 0.000319322 0.000127833
8200.18 0.000336495 0.00019109 0.000436317 0.000107784
8207.29 0.000451841 0.000179122 0.000129348 0.000102878
8214.41 0.000215805 0.000103971 0.00026571 0.000125091
8221.52 0.000192998 0.000151122 0.000387379 7.60052e-05
8228.63 0.000224283 0.000211475 0.000416831 0.000125026
8235.74 0.000236911 0.000170933 0.000289097 0.000112915
8242.85 0.000190977 0.000353439 0.00051458 0.000119203
8249.96 0.000390156 0.000166728 0.00042373 0.000129165
8257.07 0.000211641 0.000143791 0.00029319 0.000145511
8264.19 0.000210309 0.000311725 0.000363186 0.000118318
8271.3 0.000181801 0.000252534 0.000288124 0.000161606
8278.41 0.000341045 0.000167976 0.00031255 0.000150273
8285.52 0.000236486 0.000241298 0.000295452 7.26598e-05
8292.63 0.000260314 0.000241294 0.000337579 8.21863e-05
8299.74 0.000192792 0.000218894 0.000320748 0.000136376
8306.85 0.000193181 0.000184612 0.000218226 0.000139848
8313.97 0.000308543 0.000216911 0.000272618 0.000189431
8321.08 0.000288708 0.000124565 0.000452402 0.000135377
8328.19 0.000308905 0.000168493 0.000214823 0.000250909
8335.3 0.000289547 0.000172664 0.000371529 0.000101534
8342.41 0.000238653 0.000193818 0.00027454 0.000259609
8349.52 0.000290383 0.000118495 0.000167355 0.000184147
